Facility Name,Company,Facility Type,Facility Detail,Capacity,Railroads,Port,Car Spot,latitude,longitude
Viterra Canada Inc.,Viterra Canada Inc.,Grain Facility,Primary,31810 Tonne,CP,,100+,49.18576648,-97.98935754
Bunge Canada,Bunge Canada,Grain Facility,Process,16800 Tonne,CP,,25+,49.11159216,-97.55936506
"PATERSON GRAIN, a division of Paterson GlobalFoods Inc.","PATERSON GRAIN, a division of Paterson GlobalFoods Inc.",Grain Facility,Primary,3440 Tonne,CP,,< 25,50.91378952,-97.21746528
S.S. Johnson Seeds Ltd.,S.S. Johnson Seeds Ltd.,Grain Facility,Primary,6200 Tonne,NO,,< 25,50.95220125,-97.26912593
Agri-Tel Grain Limited,Agri-Tel Grain Limited,Grain Facility,Process,5000 Tonne,NO,,< 25,49.98671904,-96.47755642
Viterra Canada Inc. ,Viterra Canada Inc. ,Grain Facility,Primary,9100 Tonne,CP,,50+,50.05379678,-96.48927643
"PATERSON GRAIN, a division of Paterson GlobalFoods Inc.","PATERSON GRAIN, a division of Paterson GlobalFoods Inc.",Grain Facility,Primary,21060 Tonne,CP,,50+,50.61958104,-101.280492
Viterra Canada Inc.,Viterra Canada Inc.,Grain Facility,Primary,38500 Tonne,CP,,50+,50.64493623,-101.2884237
Viterra Canada Inc.,Viterra Canada Inc.,Grain Facility,Primary,42150 Tonne,CP,,100+,49.229314,-100.0915384
Richardson Pioneer Limited ,Richardson Pioneer Limited ,Grain Facility,Primary,35400 Tonne,CP,,100+,49.84702646,-100.1186779
Viterra Canada Inc.,Viterra Canada Inc.,Grain Facility,Primary,42150 Tonne,CN,,100+,49.99051237,-99.9384543
Besco Grain Ltd.,Besco Grain Ltd.,Grain Facility,Primary,2650 Tonne,OTH,,50+,49.59240813,-97.5775397
ADM Agri-Industries Company,ADM Agri-Industries Company,Grain Facility,Primary,15000 Tonne,CP,,100+,49.85872413,-99.35593532
Linear Grain Inc.,Linear Grain Inc.,Grain Facility,Primary,13700 Tonne,CN,,50+,49.50885269,-98.00902272
Viterra Canada Inc. ,Viterra Canada Inc. ,Grain Facility,Primary,16640 Tonne,CN,,No Data,49.5178814,-97.99381465
Hudson Bay Port Corporation,Hudson Bay Port Corporation,Grain Facility,Terminal,140020 Tonne,OTH,,100+,58.77488746,-94.1893592
"PATERSON GRAIN, a division of Paterson GlobalFoods Inc. ","PATERSON GRAIN, a division of Paterson GlobalFoods Inc. ",Grain Facility,Primary,2850 Tonne,CP,,< 25,49.71501313,-97.90831514
"PATERSON GRAIN, a division of Paterson GlobalFoods Inc. ","PATERSON GRAIN, a division of Paterson GlobalFoods Inc. ",Grain Facility,Primary,7850 Tonne,CP,,< 25,49.5544187,-99.08947363
Cargill Limited,Cargill Limited,Grain Facility,Primary,10500 Tonne,CN,,50+,51.14171519,-100.0361702
Richardson Pioneer Limited ,Richardson Pioneer Limited ,Grain Facility,Primary,25800 Tonne,CN,,50+,51.13607939,-100.021935
Turtle Mountain Seed Co. Ltd.,Turtle Mountain Seed Co. Ltd.,Grain Facility,Primary,2150 Tonne,NO,,No Data,49.19270749,-100.5172357
Richardson Pioneer Limited,Richardson Pioneer Limited,Grain Facility,Primary,28500 Tonne,CP,,100+,50.08255016,-98.5057015
"Parrish & Heimbecker, Limited","Parrish & Heimbecker, Limited",Grain Facility,Primary,16500 Tonne,CN,,50+,51.14857668,-100.5884642
Prairie Flour Mills Ltd.,Prairie Flour Mills Ltd.,Grain Facility,Process,7694 Tonne,NO,,< 25,49.90817431,-97.7826351
Cargill Limited,Cargill Limited,Grain Facility,Primary,19800 Tonne,CP,,100+,49.67746667,-97.99924137
Cargill Limited,Cargill Limited,Grain Facility,Primary,24500 Tonne,CP,,100+,49.22505484,-101.0746513
Viterra Canada Inc. ,Viterra Canada Inc. ,Grain Facility,Primary,10530 Tonne,CP,,50+,49.74326716,-97.78915064
Delmar Commodities Ltd.,Delmar Commodities Ltd.,Grain Facility,Primary,6190 Tonne,CN,,25+,50.22396241,-98.94615375
Bunge Canada,Bunge Canada,Grain Facility,Process,12125 Tonne,CP,,25+,50.75928603,-101.4586611
"PATERSON GRAIN, a division of Paterson GlobalFoods Inc.","PATERSON GRAIN, a division of Paterson GlobalFoods Inc.",Grain Facility,Primary,3240 Tonne,CP,,< 25,49.59941054,-98.87773979
Delmar Commodities Ltd.,Delmar Commodities Ltd.,Grain Facility,Primary,4170 Tonne,CN,,< 25,49.37034974,-98.00397525
"PATERSON GRAIN, a division of Paterson GlobalFoods Inc. ","PATERSON GRAIN, a division of Paterson GlobalFoods Inc. ",Grain Facility,Primary,65950 Tonne,CP,,100+,49.18098815,-99.64426738
Tri Lake Agri Limited ,Tri Lake Agri Limited ,Grain Facility,Primary,12500 Tonne,CP,,50+,49.18014774,-99.64490945
Tri Lake Agri Limited ,Tri Lake Agri Limited ,Grain Facility,Primary,17500 Tonne,CP,,50+,49.17994213,-99.64410933
Seed-Ex Inc.,Seed-Ex Inc.,Grain Facility,Primary,32760 Tonne,NO,,< 25,49.13428901,-97.31919587
Prairie Premium Products Inc.,Prairie Premium Products Inc.,Grain Facility,Process,1750 Tonne,NO,,< 25,49.97628598,-98.61604214
Canada Malting Co. Limited,Canada Malting Co. Limited,Grain Facility,Primary,3780 Tonne,CN,,< 25,49.35294038,-99.00680129
Vandaele Seeds Ltd.,Vandaele Seeds Ltd.,Grain Facility,Primary,22000 Tonne,NO,,< 25,49.25394835,-100.6632902
Husky Energy Marketing Partnership,Husky Energy Marketing Partnership,Grain Facility,Process,8500 Tonne,CP,,< 25,50.256492,-99.86436631
Richardson Pioneer Limited ,Richardson Pioneer Limited ,Grain Facility,Primary,11500 Tonne,CP,,50+,50.25681999,-99.86848381
Richardson Pioneer Limited,Richardson Pioneer Limited,Grain Facility,Primary,24380 Tonne,CN,,100+,49.55672051,-97.6320776
BP & Sons Grain and Storage Inc.,BP & Sons Grain and Storage Inc.,Grain Facility,Primary,13000 Tonne,CP,,25+,49.18819821,-98.09996681
Cargill Limited ,Cargill Limited ,Grain Facility,Primary,30000 Tonne,CN,,100+,49.3502911,-97.3783127
Horizon Agro Inc.,Horizon Agro Inc.,Grain Facility,Primary,8300 Tonne,NO,,< 25,49.397638,-97.4251776
"PATERSON GRAIN, a division of Paterson GlobalFoods Inc. ","PATERSON GRAIN, a division of Paterson GlobalFoods Inc. ",Grain Facility,Primary,81000 Tonne,CN,,100+,49.34174616,-97.37434008
Cargill Limited,Cargill Limited,Grain Facility,Primary,17700 Tonne,CP,,100+,49.59290105,-99.92897942
Canada Malting Co. Limited,Canada Malting Co. Limited,Grain Facility,Primary,6710 Tonne,CN,,< 25,50.06431806,-100.4463617
Cargill Limited,Cargill Limited,Grain Facility,Primary,18200 Tonne,CN,,50+,50.08841105,-100.5870327
ETG Commodities Manitoba Inc.,ETG Commodities Manitoba Inc.,Grain Facility,Primary,17000 Tonne,NO,,< 25,49.19547447,-97.79693107
Viterra Canada Inc.,Viterra Canada Inc.,Grain Facility,Primary,12500 Tonne,NO,,< 25,49.19014177,-97.76172354
Richardson Milling Limited,Richardson Milling Limited,Grain Facility,Process,8700 Tonne,CP,,No Data,49.96645621,-98.35168996
"Parrish & Heimbecker, Limited","Parrish & Heimbecker, Limited",Grain Facility,Primary,41400 Tonne,CP,,100+,49.64572851,-98.56033612
Richardson Pioneer Limited,Richardson Pioneer Limited,Grain Facility,Primary,16300 Tonne,CN,,100+,49.15428109,-97.31070892
Viterra Canada Inc.,Viterra Canada Inc.,Grain Facility,Primary,12920 Tonne,CN,,50+,51.24376134,-101.3588721
Viterra Canada Inc.,Viterra Canada Inc.,Grain Facility,Primary,34000 Tonne,CP,,50+,49.96595095,-97.3497251
Richardson Pioneer Limited ,Richardson Pioneer Limited ,Grain Facility,Primary,37750 Tonne,CP,,100+,50.44412608,-100.6108888
Delmar Commodities Ltd. ,Delmar Commodities Ltd. ,Grain Facility,Primary,9320 Tonne,CN,,25+,49.41177739,-98.66185948
Viterra Canada Inc.,Viterra Canada Inc.,Grain Facility,Primary,24820 Tonne,CP,,100+,49.62779755,-100.2419778
Richardson Pioneer Limited,Richardson Pioneer Limited,Grain Facility,Primary,38713 Tonne,CP,,100+,50.02643649,-97.21582132
"Scoular Canada, Ltd. ","Scoular Canada, Ltd. ",Grain Facility,Primary,9389 Tonne,NO,,< 25,49.27063233,-97.34378828
Alliance Pulse Processors Inc.,Alliance Pulse Processors Inc.,Grain Facility,Primary,39300 Tonne,NO,,< 25,49.13192822,-97.39290962
Richardson Pioneer Limited ,Richardson Pioneer Limited ,Grain Facility,Primary,17850 Tonne,CP,,100+,49.77123791,-97.61375848
Viterra Canada Inc.,Viterra Canada Inc.,Grain Facility,Process,6000 Tonne,CN,,< 25,49.57373846,-97.20438054
Richardson Pioneer Limited,Richardson Pioneer Limited,Grain Facility,Primary,36850 Tonne,CN,,100+,52.17682824,-101.2444302
"PATERSON GRAIN, a division of Paterson GlobalFoods Inc.","PATERSON GRAIN, a division of Paterson GlobalFoods Inc.",Grain Facility,Primary,3390 Tonne,CP,,< 25,50.38579197,-97.26417904
Viterra Canada Inc.,Viterra Canada Inc.,Grain Facility,Primary,9670 Tonne,CP,,50+,49.98826121,-98.22344176
"Parrish & Heimbecker, Limited","Parrish & Heimbecker, Limited",Grain Facility,Primary,46400 Tonne,CP,,100+,49.89633834,-101.0234967
Delmar Commodities Ltd.,Delmar Commodities Ltd.,Grain Facility,Primary,4460 Tonne,CN,,< 25,50.15546324,-98.66850583
"Scoular Canada, Ltd.","Scoular Canada, Ltd.",Grain Facility,Primary,9000 Tonne,NO,,< 25,49.175964,-97.930351
CHS Inc.,CHS Inc.,Grain Facility,Primary,1500 Tonne,NO,,< 25,49.184225,-97.924589
Walhalla Bean Co. (Canada) Ltd.,Walhalla Bean Co. (Canada) Ltd.,Grain Facility,Primary,10520 Tonne,CP,,< 25,49.18336772,-97.91240096
ADM Agri-Industries Company,ADM Agri-Industries Company,Grain Facility,Process,820 Tonne,CP,,< 25,49.90336134,-97.11578969
Malteurop Canada Ltd.,Malteurop Canada Ltd.,Grain Facility,Process,48990 Tonne,CN,,100+,49.88656434,-96.99802965
"PATERSON GRAIN, a division of Paterson GlobalFoods Inc.","PATERSON GRAIN, a division of Paterson GlobalFoods Inc.",Grain Facility,Primary,121000 Tonne,CN,,100+,49.96602583,-97.30908773
G3 Canada Limited ,G3 Canada Limited ,Grain Facility,Primary,41400 Tonne,CN,,100+,49.98304096,-98.55873127
"Parrish & Heimbecker, Limited ","Parrish & Heimbecker, Limited ",Grain Facility,Primary,66500 Tonne,CN,,100+,50.20636063,-98.92993229
G3 Canada Limited,G3 Canada Limited,Grain Facility,Primary,33900 Tonne,CN,,100+,49.62314003,-97.14401275
Besco Grain Ltd.,Besco Grain Ltd.,Grain Facility,Primary,1600 Tonne,NO,,< 25,49.50410848,-97.89944559
Halifax Grain Elevator Limited,Halifax Grain Elevator Limited,Grain Facility,Terminal,135810 Tonne,CN,,100+,44.63272867,-63.57134096
"Parrish & Heimbecker, Limited ","Parrish & Heimbecker, Limited ",Grain Facility,Terminal,105000 Tonne,CN,,25+,43.74413549,-81.72254613
"Parrish & Heimbecker, Limited","Parrish & Heimbecker, Limited",Grain Facility,Terminal,49500 Tonne,CN,,No Data,43.27488646,-79.85109231
Richardson International Limited / Richardson International Limitée,Richardson International Limited / Richardson International Limitée,Grain Facility,Terminal,44300 Tonne,CP,,No Data,43.2713085,-79.78349348
Cargill Limited,Cargill Limited,Grain Facility,Terminal,151000 Tonne,CN,,25+,42.98510732,-82.41373128
Canada Malting Co. Limited,Canada Malting Co. Limited,Grain Facility,Process,80900 Tonne,CN,,50+,48.4168549,-89.2266006
G3 Canada Limited,G3 Canada Limited,Grain Facility,Terminal,137740 Tonne,CN,,50+,48.355526,-89.2301254
Richardson International Limited / Richardson International Limitée,Richardson International Limited / Richardson International Limitée,Grain Facility,Terminal,210030 Tonne,CP,,100+,48.4464684,-89.1874466
Richardson International Limited / Richardson International Limitée ,Richardson International Limited / Richardson International Limitée ,Grain Facility,Terminal,231030 Tonne,CP,,75+,48.44769724,-89.18747239
Superior Elevator ULC,Superior Elevator ULC,Grain Facility,Terminal,176020 Tonne,CN,,75+,48.3554268,-89.2333145
Viterra Canada Inc. ,Viterra Canada Inc. ,Grain Facility,Terminal,362650 Tonne,CN,,100+,48.414608,-89.2229996
ADM Agri-Industries Company,ADM Agri-Industries Company,Grain Facility,Terminal,124010 Tonne,OTH,,100+,42.26634516,-83.10118442
Cargill Limited,Cargill Limited,Grain Facility,Terminal,441780 Tonne,NO,,< 25,49.25444033,-68.13478585
Viterra Canada Inc. ,Viterra Canada Inc. ,Grain Facility,Terminal,262000 Tonne,CN,,100+,45.55695804,-73.52196956
Louis Dreyfus Company Canada ULC,Louis Dreyfus Company Canada ULC,Grain Facility,Terminal,292950 Tonne,NO,,< 25,50.03088809,-66.78594602
G3 Canada Limited,G3 Canada Limited,Grain Facility,Terminal,224030 Tonne,CN,,100+,46.82128247,-71.20440893
Richardson International (Quebec) Limited / Richardson International (Québec) Limitée,Richardson International (Quebec) Limited / Richardson International (Québec) Limitée,Grain Facility,Terminal,146460 Tonne,NO,,100+,46.04682924,-73.11839152
G3 Canada Limited,G3 Canada Limited,Grain Facility,Terminal,109000 Tonne,OTH,,100+,46.33123855,-72.54761294
Viterra Canada Inc.,Viterra Canada Inc.,Grain Facility,Primary,28000 Tonne,CN,,No Data,49.57029064,-97.19890119
"Scoular Canada, Ltd.","Scoular Canada, Ltd.",Grain Facility,Primary,2680 Tonne,OTH,,No Data,50.35670096,-96.95679973
MobilEx Terminal Ltd.,MobilEx Terminal Ltd.,Grain Facility,Terminal,10000 Tonne,CN,,No Data,48.36765413,-89.23713291
"The Andersons, Inc.","The Andersons, Inc.",Grain Facility,Primary,1800 Tonne,CN,,No Data,53.15347317,-103.8992643
Alliance Pulse Processors Inc.,Alliance Pulse Processors Inc.,Grain Facility,Primary,3350 Tonne,OTH,,No Data,50.55351931,-104.7380283
Alliance Pulse Processors Inc.,Alliance Pulse Processors Inc.,Grain Facility,Primary,2150 Tonne,OTH,,No Data,51.20347654,-108.0311946
Victoria Pulse Trading Corp.,Victoria Pulse Trading Corp.,Grain Facility,Primary,2800 Tonne,OTH,,No Data,50.10774357,-103.8836403
Alliance Pulse Processors Inc.,Alliance Pulse Processors Inc.,Grain Facility,Primary,2150 Tonne,OTH,,No Data,50.93894755,-105.6894406
Agrocorp Processing Ltd.,Agrocorp Processing Ltd.,Grain Facility,Primary,5000 Tonne,CP,,No Data,52.74215926,-109.0151519
"PATERSON GRAIN, a division of Paterson GlobalFoods Inc.","PATERSON GRAIN, a division of Paterson GlobalFoods Inc.",Grain Facility,Primary,60120 Tonne,CP,,No Data,52.86308803,-112.2624535
G3 Canada Limited,G3 Canada Limited,Grain Facility,Terminal,50800 Tonne,CN,,No Data,43.27569375,-79.78709454
"London Agricultural Commodities, Inc.","London Agricultural Commodities, Inc.",Grain Facility,Terminal,62500 Tonne,CP,,No Data,42.90785052,-79.24615507
Schluter & Maack GmbH,Schluter & Maack GmbH,Grain Facility,Primary,4042 Tonne,NO,,< 25,50.48461324,-104.327154
Adroit Overseas Enterprises Ltd.,Adroit Overseas Enterprises Ltd.,Grain Facility,Primary,3900 Tonne,OTH,,100+,49.74586608,-107.4818853
Global Food and Ingredients Inc.,Global Food and Ingredients Inc.,Grain Facility,Primary,7209 Tonne,NO,,< 25,50.13511212,-104.1142488
Global Food and Ingredients Inc.,Global Food and Ingredients Inc.,Grain Facility,Primary,7052 Tonne,CN,,< 25,51.61873909,-107.7441548
Global Food and Ingredients Inc.,Global Food and Ingredients Inc.,Grain Facility,Primary,6150 Tonne,OTH,,No Data,50.23901807,-104.1531717
Viterra Canada Inc.,Viterra Canada Inc.,Grain Facility,Primary,20500 Tonne,CP,,No Data,50.39987999,-105.1655805
GrainsConnect Canada Operations Inc.,GrainsConnect Canada Operations Inc.,Grain Facility,Primary,35000 Tonne,CN,,100+,52.55574978,-107.6855431
"The Andersons, Inc.","The Andersons, Inc.",Grain Facility,Primary,10600 Tonne,CN,,No Data,52.86752637,-104.6466021
DG Global West Inc.,DG Global West Inc.,Grain Facility,Primary,15880 Tonne,CN,,No Data,52.10727432,-106.8265648
Alliance Pulse Processors Inc.,Alliance Pulse Processors Inc.,Grain Facility,Primary,80 Tonne,NO,,< 25,50.95248065,-113.8451121
Stonehenge Global Seeds Inc. ,Stonehenge Global Seeds Inc. ,Grain Facility,Primary,330 Tonne,NO,,No Data,49.54247834,-106.1372114
"PATERSON GRAIN, a division of Paterson GlobalFoods Inc. ","PATERSON GRAIN, a division of Paterson GlobalFoods Inc. ",Grain Facility,Primary,64000 Tonne,CP,,150,51.94863034,-114.0464847
Emo Feed Service Limited ,Emo Feed Service Limited ,Grain Facility,Primary,500 Tonne,NO,,No Data,48.63219348,-93.83997886
Section 12 Foods Inc. ,Section 12 Foods Inc. ,Grain Facility,Primary,2470 Tonne,NO,,No Data,51.11137931,-108.7218389
WESTLAND AGRO LTD. ,WESTLAND AGRO LTD. ,Grain Facility,Primary,1510 Tonne,NO,,No Data,49.87463779,-106.5217673
ADM Agri-Industries Company ,ADM Agri-Industries Company ,Grain Facility,Primary,6630 Tonne,CN,,No Data,52.86922735,-108.3133527
Semler Cattle and Grain Ltd. O/A Alberta Feed Grain ,Semler Cattle and Grain Ltd. O/A Alberta Feed Grain ,Grain Facility,Primary,37530 Tonne,NO,,No Data,54.06651227,-114.1030978
The Corporation of the Township of Edwardsburgh/Cardinal ,The Corporation of the Township of Edwardsburgh/Cardinal ,Grain Facility,Terminal,203320 Tonne,CN,,No Data,44.73132899,-75.47470861
G3 Canada Limited ,G3 Canada Limited ,Grain Facility,Primary,42070 Tonne,CN,,100+,50.97152851,-102.7130804
GrainsConnect Canada Operations Inc.,GrainsConnect Canada Operations Inc.,Grain Facility,Primary,35000 Tonne,CN,,100+,52.30173093,-108.6906122
"Hensall District Co-operative, Incorporated ","Hensall District Co-operative, Incorporated ",Grain Facility,Primary,12000 Tonne,OTH,,No Data,50.01738823,-98.50977939
2712270 Manitoba Ltd. DBA Pizzey Ingredients ,2712270 Manitoba Ltd. DBA Pizzey Ingredients ,Grain Facility,Process,370 Tonne,NO,,No Data,50.72796287,-101.0200765
Grain Millers Canada Corp. ,Grain Millers Canada Corp. ,Grain Facility,Primary,4070 Tonne,CN,,No Data,55.75714773,-118.7043085
G3 Canada Limited ,G3 Canada Limited ,Grain Facility,Primary,42080 Tonne,CN,,100+,52.11980279,-106.8626781
Grain Millers Canada Corp. ,Grain Millers Canada Corp. ,Grain Facility,Primary,7570 Tonne,CN,,No Data,52.17713803,-106.6528212
Viterra Canada Inc. ,Viterra Canada Inc. ,Grain Facility,Primary,33130 Tonne,CP,,No Data,51.29292042,-106.5997825
Viterra Canada Inc. ,Viterra Canada Inc. ,Grain Facility,Primary,34000 Tonne,CN,,130+,53.53633834,-112.1757876
Sunrise Foods International Inc.,Sunrise Foods International Inc.,Grain Facility,Primary,5650 Tonne,CP,,100+,49.82916208,-100.2949491
"Hensall District Co-operative, Incorporated","Hensall District Co-operative, Incorporated",Grain Facility,Primary,14000 Tonne,NO,,100+,49.97827683,-98.48782234
G3 Canada Limited,G3 Canada Limited,Grain Facility,Primary,41290 Tonne,CP,,100+,50.11858571,-113.1183235
G3 Canada Limited,G3 Canada Limited,Grain Facility,Primary,41300 Tonne,CN,,100+,53.08070933,-109.3007357
G3 Canada Limited,G3 Canada Limited,Grain Facility,Primary,41290 Tonne,CN,,100+,53.80763011,-113.6974866
G3 Canada Limited,G3 Canada Limited,Grain Facility,Primary,41290 Tonne,CP,,100+,52.93274833,-113.3836625
G3 Terminal Vancouver Limited Partnership,G3 Terminal Vancouver Limited Partnership,Grain Facility,Terminal,183000 Tonne,CN,,450+,49.30378096,-123.0450457
ETG Commodities Inc.,ETG Commodities Inc.,Grain Facility,Primary,6500 Tonne,CP,,100+,52.74180299,-109.0105964
ETG Commodities Inc.,ETG Commodities Inc.,Grain Facility,Primary,7000 Tonne,CN,,100+,52.81811899,-108.3276974
ETG Commodities Inc.,ETG Commodities Inc.,Grain Facility,Process,5000 Tonne,NO,,No Data,52.88706903,-108.2727637
ETG Commodities Inc.,ETG Commodities Inc.,Grain Facility,Primary,6500 Tonne,CP,,100+,50.27697126,-107.7739712
Etter Seed & Processing Ltd.,Etter Seed & Processing Ltd.,Grain Facility,Primary,2500 Tonne,NO,,No Data,50.39284332,-104.4390015
Fibreco Export Inc.,Fibreco Export Inc.,Grain Facility,Terminal,57585 Tonne,CN,,No Data,49.31546617,-123.1093269
GrainsConnect Canada Operations Inc.,GrainsConnect Canada Operations Inc.,Grain Facility,Primary,35000 Tonne,CN,,100+,51.91225203,-113.2357596
GrainsConnect Canada Operations Inc.,GrainsConnect Canada Operations Inc.,Grain Facility,Primary,35000 Tonne,CN,,100+,53.49318493,-111.993639
"Hensall District Co-operative, Incorporated","Hensall District Co-operative, Incorporated",Grain Facility,Primary,3000 Tonne,NO,,No Data,49.37017311,-98.2290296
"Natural Specialty Crops Co., ULC","Natural Specialty Crops Co., ULC",Grain Facility,Primary,4500 Tonne,NO,,No Data,50.44560582,-104.8004719
"Parrish & Heimbecker, Limited","Parrish & Heimbecker, Limited",Grain Facility,Primary,46650 Tonne,CN,,100+,53.11262641,-111.8114764
Prairie Lakes Milling Inc.,Prairie Lakes Milling Inc.,Grain Facility,Process,4150 Tonne,NO,,No Data,49.40450069,-99.67916767
QSL Canada Inc.,QSL Canada Inc.,Grain Facility,Terminal,10000 Tonne,CN,,No Data,43.86717553,-78.82209448
Société en Commandite TerminalGrains.Ag DBA Sollio Agriculture,Société en Commandite TerminalGrains.Ag DBA Sollio Agriculture,Grain Facility,Terminal,139000 Tonne,CN,,No Data,46.82121915,-71.20474449
Market Place Commodities Ltd.,Market Place Commodities Ltd.,Grain Facility,Primary,7000 Tonne,NO,,No Data,49.774672,-113.272214
Richardson Pioneer Limited,Richardson Pioneer Limited,Grain Facility,Primary,32230 Tonne,CN,,No Data,58.519801,-117.107499
G3 Canada Limited,G3 Canada Limited,Grain Facility,Primary,41290 Tonne,CN,,No Data,51.271595,-113.626608
G3 Canada Limited,G3 Canada Limited,Grain Facility,Primary,41290 Tonne,CP,,No Data,52.312711,-112.89152
Fraser Grain Terminal Ltd.,Fraser Grain Terminal Ltd.,Grain Facility,Terminal,72000 Tonne,CN,,No Data,49.178778,-122.917544
Roquette Canada Ltd.,Roquette Canada Ltd.,Grain Facility,Process,2400 Tonne,NO,,No Data,49.96124,-98.39253
Alliance Pulse Processors Inc.,Alliance Pulse Processors Inc.,Grain Facility,Primary,0 Tonne,OTH,,No Data,51.897197,-107.126362
Adroit Overseas Enterprises Ltd.,Adroit Overseas Enterprises Ltd.,Grain Facility,Primary,7067 Tonne,CP,,No Data,49.961318,-107.630503
G.S. Dunn Limited,G.S. Dunn Limited,Grain Facility,Primary,3680 Tonne,NO,,No Data,49.737075,-111.452097
Buffalo Creek Mills (2017) Inc.,Buffalo Creek Mills (2017) Inc.,Grain Facility,Process,2780 Tonne,NO,,,49.13589809,-97.55084309
Global Food and Ingredients Inc.,Global Food and Ingredients Inc.,Grain Facility,Process,1500 Tonne,NO,,,51.92821804,-114.0387342
South Peace Grain Cleaning Co-operative Association,South Peace Grain Cleaning Co-operative Association,Grain Facility,Primary,1500 Tonne,NO,,,55.75549917,-120.1713791
"Parrish & Heimbecker, Limited","Parrish & Heimbecker, Limited",Grain Facility,Primary,25000 Tonne,CN,,100+,49.87984625,-96.75315576
Richardson Pioneer Limited,Richardson Pioneer Limited,Grain Facility,Primary,41500 Tonne,CN,,100+,55.16554965,-119.28409
Purely Canada Foods Corp.,Purely Canada Foods Corp.,Grain Facility,Primary,8370 Tonne,CN,,,51.46181974,-109.1590637
Purely Canada Foods Corp.,Purely Canada Foods Corp.,Grain Facility,Primary,95000 Tonne,OTH,,100+,50.24048481,-104.1535939
Western Harvest Bean ULC,Western Harvest Bean ULC,Grain Facility,Primary,10660 Tonne,NO,,,49.18810182,-98.10098872
Western Harvest Bean ULC,Western Harvest Bean ULC,Grain Facility,Primary,4540 Tonne,NO,,,49.18811598,-98.10150848
Western Harvest Bean ULC,Western Harvest Bean ULC,Grain Facility,Primary,15900 Tonne,NO,,,49.19530079,-97.79671261
Alliance Pulse Processors Inc.,Alliance Pulse Processors Inc.,Grain Facility,Primary,2000 Tonne,OTH,,,51.16086495,-108.7181261
Alliance Pulse Processors Inc.,Alliance Pulse Processors Inc.,Grain Facility,Primary,120 Tonne,NO,,,50.47825154,-104.5693651
Adroit Overseas Enterprises Ltd.,Adroit Overseas Enterprises Ltd.,Grain Facility,Primary,1750 Tonne,CP,,,49.64234729,-108.4135765
G3 Canada Limited,G3 Canada Limited,Grain Facility,Primary,41290 Tonne,CP,,100+,50.32037648,-107.7132165
Western Harvest Bean ULC,Western Harvest Bean ULC,Grain Facility,Primary,5300 Tonne,NO,,,49.63009007,-98.70037897
G3 Canada Limited,G3 Canada Limited,Grain Facility,Primary,41290 Tonne,CN,,100+,53.34491601,-110.7655788
"Parrish & Heimbecker, Limited","Parrish & Heimbecker, Limited",Grain Facility,Primary,25000 Tonne,CN,,100+,51.24103304,-102.4540878
Global Food and Ingredients Inc.,Global Food and Ingredients Inc.,Grain Facility,Process,1076 Tonne,CN,,< 25,51.61824861,-107.7458282
Richardson Pioneer Limited,Richardson Pioneer Limited,Grain Facility,Primary,46150 Tonne,CP,,No Data,50.06844899,-108.5851585
Battle River Railway NGC Inc.,Battle River Railway NGC Inc.,Grain Facility,Primary,1000 Tonne,CN,,No Data,52.43350599,-111.786328
Battle River Railway NGC Inc.,Battle River Railway NGC Inc.,Grain Facility,Primary,2000 Tonne,CN,,No Data,52.78905159,-112.4395079
G3 Canada Limited,G3 Canada Limited,Grain Facility,Primary,42080 Tonne,CN,,100+,55.72337804,-118.7091122
Prairie Premium Products Inc.,Prairie Premium Products Inc.,Grain Facility,Primary,4000 Tonne,CP,,No Data,50.43321908,-101.0469436
Prairie Fava Ltd.,Prairie Fava Ltd.,Grain Facility,Process,200 Tonne,NO,,No Data,49.56341283,-99.39060551
Monette Seeds Ltd.,Monette Seeds Ltd.,Grain Facility,Primary,9140 Tonne,CP,,No Data,50.28056774,-107.8100572
Canada Direct Processing Inc.,Canada Direct Processing Inc.,Grain Facility,Primary,3000 Tonne,OT,,No Data,49.69260402,-106.7231422
Providence Grain Group Inc,Providence Grain Group Inc,Grain Facility,Primary,16250 Tonne,NO,,No Data,53.85314462,-113.2260866
Quesnel,West Fraser,Forest Products Mill,Pulp,,,,,52.95000076,-122.4899979
Grande Prairie Sawmill,Canfor,Forest Products Mill,Saw,,,,,55.15999985,-118.8199997
Wynndel Sawmill,Wynndel Box & Lumber,Forest Products Mill,Saw,,,,,49.18000031,-116.5599976
Luceville,Lulumco,Forest Products Mill,Saw,,,,,48.52999878,-68.33999634
Saint-Jean-de-Matha,Scierie Rivest,Forest Products Mill,Saw,,,,,46.22000122,-73.52999878
Chapleau,Niska North,Forest Products Mill,Saw,,,,,47.84999847,-83.43000031
Saint-Dominique,Kebois Ltd,Forest Products Mill,Saw,,,,,45.56000137,-72.84999847
Notre-Dame-De-Montauban,Scierie Montauban Inc.,Forest Products Mill,Saw,,,,,46.88999939,-72.30000305
Ladysmith,Western Forest Products,Forest Products Mill,Saw,,,,,49,-123.8199997
Winnipeg,Select Forest Products,Forest Products Mill,Saw,,,,,49.90000153,-97.09999847
Saint-Arthur,North American Forest Products Ltd. - St. Arthur Division,Forest Products Mill,Saw,,,,,47.88999939,-66.76999664
